OBJECTID,POPCHANGE,PCTCHANGE,EMPCHANGE,EMPPCTCHANGE,EMPDEN2045,EMPDENCHANGE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
99,8.99350357,10.03314284,1.03963927,2.66798929,2.66798929,0,MoveDC_Pop_Emp_ForecastsPly_12,{EB50DA71-185A-4AEB-B014-487D0048CC78},,,,,0,0
100,8.8316021,9.8821875,1.0505854,2.56521095,2.79908692,0.23387596,MoveDC_Pop_Emp_ForecastsPly_285,{79723707-5BDF-443B-BC86-5DB5EAF2B257},,,,,0,0
101,8.16955853,9.98705608,1.81749755,1.92152917,3.58603852,1.66450935,MoveDC_Pop_Emp_ForecastsPly_353,{BE7E4DF6-861E-4C38-A810-E84F7A233BBB},,,,,0,0
102,34.98439789,41.91849382,6.93409593,12.31701999,12.40935147,0.09233148,MoveDC_Pop_Emp_ForecastsPly_240,{D3E14EBA-F6BA-4E26-8C2D-8B8830E69BD0},,,,,0,0
103,4.74128389,4.99906247,0.25777857,1.03111417,1.03111417,0,MoveDC_Pop_Emp_ForecastsPly_214,{197E2C39-205F-46A8-8744-D14B6B5B9AAF},,,,,0,0
104,59.34366989,73.11868211,13.77501222,11.20474861,12.07489038,0.87014177,MoveDC_Pop_Emp_ForecastsPly_40,{8214E35F-C495-40B8-B51F-9966C4829C9B},,,,,0,0
105,26.56964302,30.62683272,4.0571897,1.96674734,1.96674734,0,MoveDC_Pop_Emp_ForecastsPly_37,{8E8A7C6E-3A2D-47CD-AD54-55C97E5D87D5},,,,,0,0
106,11.31105137,17.36129588,6.05024451,0.95995525,4.01665485,3.0566996,MoveDC_Pop_Emp_ForecastsPly_340,{FEF1BF47-82BF-4CC4-BAF7-4EBAC913EC99},,,,,0,0
107,56.70783615,78.81892592,22.11108977,5.15525787,6.6966971,1.54143923,MoveDC_Pop_Emp_ForecastsPly_64,{916EDCF1-828D-4EBF-9B78-F086114C4D9F},,,,,0,0
108,49.8803978,58.5048319,8.62443411,6.50456322,6.50456322,0,MoveDC_Pop_Emp_ForecastsPly_15,{34F192B0-7A86-4998-A9CB-D80D9C268371},,,,,0,0
109,16.53448868,20.67599356,4.14150489,3.73155959,4.2676428,0.53608321,MoveDC_Pop_Emp_ForecastsPly_339,{EDD18D94-FF7B-42B0-ABD3-BCA15D44B0EC},,,,,0,0
110,2.15691566,2.21458715,0.05767149,5.61720804,5.61720804,0,MoveDC_Pop_Emp_ForecastsPly_14,{7F3E4F6C-DAD4-46D4-9917-B87AFCADCFA0},,,,,0,0
111,70.26269531,90.57603503,20.31333972,56.82968591,57.60409462,0.77440872,MoveDC_Pop_Emp_ForecastsPly_43,{C177139A-F402-4DBD-9CB0-A6F2E6265A5C},,,,,0,0
112,31.96501541,35.96453956,3.99952414,13.53445495,13.56564033,0.03118538,MoveDC_Pop_Emp_ForecastsPly_224,{931BA22C-61DE-45E2-91BC-6C08AB861B45},,,,,0,0
113,8.08479404,8.08479449,4.5e-07,121.65895538,131.74344638,10.084491,MoveDC_Pop_Emp_ForecastsPly_238,{342A792A-E18B-421B-9561-B2546DD6529B},,,,,0,0
114,41.2592659,49.19308263,7.93381673,3.62493344,3.62493344,0,MoveDC_Pop_Emp_ForecastsPly_16,{C77146DC-411A-45F8-B633-49C0C3BF8E19},,,,,0,0
115,94.98616028,141.86187624,46.87571596,8.8195136,10.23063577,1.41112218,MoveDC_Pop_Emp_ForecastsPly_34,{7B9BCBD1-2C57-4615-91DE-12A6349E590A},,,,,0,0
116,10.17256165,11.8810054,1.70844375,1.97203212,3.71952593,1.74749381,MoveDC_Pop_Emp_ForecastsPly_349,{76C07986-31D7-4AA9-AE24-4A1150C4DAC6},,,,,0,0
117,8.91440678,8.91440672,-6e-08,12.95187344,12.95187344,0,MoveDC_Pop_Emp_ForecastsPly_239,{6609F329-34CF-4FE8-84A8-D68A06532741},,,,,0,0
118,14.50831223,31.26412518,16.75581296,3.40264174,5.47749984,2.07485811,MoveDC_Pop_Emp_ForecastsPly_352,{5861AABE-6E34-4F54-9F5B-BEB698124741},,,,,0,0
